id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX00735,2026-02-07,Malang,Laptop,Laptop A14,12032000,1,12032000,E-Wallet,L,37.0,4.0,Reguler,1803000
TRX01988,2026-02-08,Surabaya,Smartphone,Smartphone NovaLite,3535000,4,14140000,Kredit,L,44.0,5.0,Reguler,560000
TRX01989,2026-02-08,Surabaya,Smartphone,Smartphone NovaLite,2372000,3,7116000,E-Wallet,L,33.0,2.0,Reguler,2905000
TRX01745,2026-02-08,Malang,Laptop,Laptop ProBook,14943000,4,59772000,E-Wallet,P,31.0,3.0,Reguler,629000
TRX01710,2026-02-08,Malang,Smartphone,Smartphone Z5,2648000,3,7944000,Tunai,P,30.0,5.0,Reguler,1259000
TRX00142,2026-02-08,Surabaya,Laptop,Laptop UltraSlim,11694000,3,35082000,Debit,L,28.0,1.0,Reguler,520000
TRX01395,2026-02-09,Bandung,Smartphone,Smartphone MaxEdge,6295000,3,18885000,E-Wallet,L,23.0,,Reguler,1999000
TRX02194,2026-02-09,Surabaya,Smartphone,Smartphone Air,5280000,1,5280000,E-Wallet,L,23.0,3.0,Reguler,2253000
TRX00903,2026-02-09,Bandung,Laptop,Laptop UltraSlim,11143000,1,11143000,Debit,L,27.0,4.0,Reguler,1636000
TRX00964,2026-02-09,Malang,Aksesoris,Earphone Bluetooth,383000,4,1532000,Debit,P,25.0,,Reguler,1652000
TRX01582,2026-02-09,Bandung,Smartphone,Smartphone MaxEdge,2084000,1,2084000,Debit,P,22.0,4.0,Reguler,2668000
TRX01355,2026-02-09,Jakarta,Smartphone,Smartphone Z5,2296000,2,4592000,E-Wallet,L,23.0,4.0,Reguler,1924000
TRX01257,2026-02-10,Surabaya,Aksesoris,Powerbank 10000mAh,327000,5,1635000,E-Wallet,L,37.0,5.0,Reguler,2534000
TRX00363,2026-02-10,Malang,Elektronik Rumah Tangga,Rice Cooker,3861000,4,15444000,Tunai,L,31.0,2.0,Reguler,932000
TRX01839,2026-02-10,Malang,Laptop,Laptop A14,8483000,2,16966000,Kredit,P,32.0,3.0,Reguler,2385000
TRX00976,2026-02-10,Surabaya,Laptop,Laptop X1,13310000,3,39930000,E-Wallet,P,39.0,4.0,Reguler,1314000
TRX00567,2026-02-11,Jakarta,Smartphone,Smartphone Air,5567000,5,27835000,Debit,L,19.0,5.0,Reguler,2847000
TRX01512,2026-02-11,Jakarta,Aksesoris,Powerbank 10000mAh,181000,1,181000,E-Wallet,P,28.0,5.0,Reguler,1761000
TRX01545,2026-02-11,Malang,Smartphone,Smartphone Z5,7714000,4,30856000,Debit,L,45.0,4.0,Reguler,2694000
TRX01656,2026-02-11,Jakarta,Laptop,Laptop X1,11754000,1,11754000,Debit,L,33.0,4.0,Reguler,312000
TRX01503,2026-02-11,Surabaya,Laptop,Laptop ProBook,14791000,4,59164000,Debit,L,,4.0,Reguler,2886000
TRX00412,2026-02-11,Malang,Aksesoris,Earphone Bluetooth,101000,5,505000,Debit,P,36.0,4.0,Reguler,1949000
TRX00078,2026-02-11,Surabaya,Elektronik Rumah Tangga,Kulkas 2 Pintu,1116000,1,1116000,E-Wallet,L,31.0,5.0,Reguler,2392000
TRX00326,2026-02-11,Surabaya,Smartphone,Smartphone Z5,7362000,5,36810000,E-Wallet,P,23.0,4.0,Reguler,2165000
TRX01479,2026-02-11,Malang,Smartphone,Smartphone MaxEdge,7856000,4,31424000,Debit,L,28.0,5.0,Reguler,820000
TRX00032,2026-02-11,Surabaya,Smartphone,Smartphone MaxEdge,6430000,1,6430000,Tunai,P,41.0,5.0,Reguler,2550000
TRX01291,2026-02-12,Surabaya,Laptop,Laptop X1,14739000,5,73695000,Debit,P,18.0,4.0,Reguler,2305000
TRX01877,2026-02-12,Jakarta,Laptop,Laptop X1,5459000,3,16377000,E-Wallet,L,32.0,5.0,Reguler,1635000
TRX00637,2026-02-12,Bandung,Smartphone,Smartphone Air,7777000,5,38885000,E-Wallet,P,36.0,5.0,Reguler,981000
TRX00626,2026-02-12,Malang,Smartphone,Smartphone Z5,6208000,3,18624000,Kredit,L,27.0,4.0,Reguler,1581000
TRX00148,2026-02-12,Malang,Aksesoris,Earphone Bluetooth,382000,2,764000,Debit,P,31.0,4.0,Reguler,2595000
TRX01609,2026-02-12,Malang,Aksesoris,Earphone Bluetooth,434000,2,868000,E-Wallet,L,41.0,4.0,Reguler,413000
TRX01817,2026-02-12,Malang,Aksesoris,Casing HP,410000,3,1230000,Debit,L,45.0,5.0,Reguler,1575000
TRX00486,2026-02-12,Bandung,Elektronik Rumah Tangga,Kipas Angin,4295000,5,21475000,E-Wallet,L,47.0,3.0,Reguler,1903000
TRX02175,2026-02-12,Jakarta,Aksesoris,Powerbank 10000mAh,217000,1,217000,Debit,L,34.0,2.0,Reguler,2268000
TRX01288,2026-02-12,Malang,Elektronik Rumah Tangga,Kulkas 2 Pintu,4765000,3,14295000,E-Wallet,P,42.0,4.0,Reguler,2139000
TRX00566,2026-02-12,Bandung,Smartphone,Smartphone Z5,4743000,3,14229000,Tunai,P,24.0,4.0,Reguler,1186000
TRX00719,2026-02-12,Surabaya,Laptop,Laptop A14,12693000,4,50772000,Kredit,L,43.0,5.0,Reguler,1792000
TRX01386,2026-02-12,Surabaya,Smartphone,Smartphone Air,2173000,1,2173000,E-Wallet,L,30.0,4.0,Reguler,1518000
TRX01112,2026-02-12,Surabaya,Laptop,Laptop X1,5282000,2,10564000,Kredit,P,24.0,4.0,Reguler,244000
TRX00327,2026-02-12,Malang,Elektronik Rumah Tangga,Rice Cooker,1404000,3,4212000,Debit,L,18.0,5.0,Reguler,1803000
TRX00510,2026-02-12,Surabaya,Aksesoris,Casing HP,225000,2,450000,E-Wallet,L,35.0,5.0,Reguler,688000
TRX00593,2026-02-13,Malang,Smartphone,Smartphone Air,2912000,3,8736000,Kredit,L,31.0,4.0,Reguler,682000
TRX00189,2026-02-13,Surabaya,Laptop,Laptop ProBook,10779000,4,43116000,Tunai,P,29.0,,Reguler,2429000
TRX01265,2026-02-13,Jakarta,Laptop,Laptop ProBook,12213000,5,61065000,Debit,L,24.0,5.0,Reguler,1771000
TRX01251,2026-02-13,Malang,Laptop,Laptop A14,11883000,1,11883000,Debit,L,26.0,3.0,Reguler,1128000
TRX00384,2026-02-13,Malang,Smartphone,Smartphone MaxEdge,6960000,1,6960000,Debit,L,39.0,5.0,Reguler,2095000
TRX00854,2026-02-13,Bandung,Smartphone,Smartphone Air,3523000,5,17615000,Kredit,P,28.0,4.0,Reguler,2628000
TRX01308,2026-02-13,Malang,Laptop,Laptop X1,14601000,3,43803000,E-Wallet,P,35.0,,Reguler,2214000
TRX01542,2026-02-13,Jakarta,Smartphone,Smartphone Z5,3770000,1,3770000,E-Wallet,P,37.0,4.0,Reguler,805000
TRX02182,2026-02-13,Malang,Laptop,Laptop A14,5780000,5,28900000,Kredit,P,35.0,5.0,Reguler,715000
TRX00097,2026-02-13,Malang,Laptop,Laptop X1,6166000,1,6166000,Debit,P,32.0,5.0,Reguler,938000
TRX01402,2026-02-13,Jakarta,Smartphone,Smartphone NovaLite,7578000,4,30312000,Kredit,P,33.0,5.0,Reguler,831000
TRX01506,2026-02-13,Malang,Aksesoris,Mouse Wireless,264000,5,1320000,E-Wallet,P,32.0,5.0,Reguler,2713000
TRX00832,2026-02-13,Jakarta,Aksesoris,Powerbank 10000mAh,468000,5,2340000,E-Wallet,P,29.0,5.0,Reguler,2887000
TRX01047,2026-02-13,Malang,Aksesoris,Casing HP,118000,3,354000,Kredit,L,38.0,3.0,Reguler,2648000
TRX00925,2026-02-14,Surabaya,Laptop,Laptop X1,11527000,2,23054000,E-Wallet,L,25.0,4.0,Reguler,512000
TRX00857,2026-02-14,Surabaya,Elektronik Rumah Tangga,TV LED 32in,1698000,5,8490000,Debit,P,45.0,4.0,Reguler,1213000
TRX01454,2026-02-14,Bandung,Smartphone,Smartphone Air,7057000,1,7057000,E-Wallet,L,,5.0,Reguler,2483000
TRX00508,2026-02-14,Malang,Aksesoris,Earphone Bluetooth,230000,4,920000,E-Wallet,P,18.0,5.0,Reguler,2652000
TRX00315,2026-02-14,Malang,Aksesoris,Earphone Bluetooth,184000,5,920000,Debit,L,26.0,5.0,Reguler,2759000
TRX00119,2026-02-14,Jakarta,Laptop,Laptop A14,10937000,5,54685000,E-Wallet,L,31.0,5.0,Reguler,788000
TRX00989,2026-02-14,Jakarta,Elektronik Rumah Tangga,Kipas Angin,4547000,1,4547000,Debit,L,36.0,4.0,Reguler,2369000
TRX01563,2026-02-14,Surabaya,Smartphone,Smartphone Air,6010000,5,30050000,Tunai,L,26.0,,Reguler,2897000
TRX02162,2026-02-14,Jakarta,Laptop,Laptop X1,9809000,5,49045000,Debit,P,27.0,4.0,Reguler,2822000
TRX01811,2026-02-14,Jakarta,Laptop,Laptop UltraSlim,13796000,3,41388000,E-Wallet,L,27.0,3.0,Reguler,524000
TRX01515,2026-02-14,Malang,Smartphone,Smartphone Z5,5790000,3,17370000,Debit,L,28.0,1.0,Reguler,1625000
TRX02100,2026-02-14,Bandung,Laptop,Laptop ProBook,5043000,2,10086000,Kredit,L,32.0,5.0,Reguler,837000
TRX01013,2026-02-14,Malang,Smartphone,Smartphone NovaLite,7658000,1,7658000,Tunai,P,47.0,4.0,Reguler,2059000
TRX01107,2026-02-14,Jakarta,Elektronik Rumah Tangga,Kipas Angin,5390000,4,21560000,Tunai,L,22.0,4.0,Reguler,2563000
TRX01124,2026-02-14,Malang,Laptop,Laptop A14,14719000,5,73595000,E-Wallet,L,34.0,2.0,Reguler,417000
TRX01709,2026-02-14,Malang,Aksesoris,Earphone Bluetooth,121000,4,484000,Debit,P,38.0,3.0,Reguler,2631000
TRX01786,2026-02-14,Malang,Smartphone,Smartphone Z5,5201000,3,15603000,Tunai,L,35.0,5.0,Reguler,2683000
TRX01906,2026-02-14,Jakarta,Laptop,Laptop UltraSlim,10488000,5,52440000,Tunai,P,34.0,4.0,Reguler,1115000
TRX00831,2026-02-14,Jakarta,Aksesoris,Mouse Wireless,105000,2,210000,E-Wallet,P,51.0,4.0,Reguler,2773000
TRX01904,2026-02-14,Jakarta,Smartphone,Smartphone NovaLite,3514000,3,10542000,E-Wallet,L,26.0,4.0,Reguler,937000
TRX01892,2026-02-14,Jakarta,Aksesoris,Casing HP,219000,4,876000,Debit,L,30.0,5.0,Reguler,800000
TRX01818,2026-02-15,Bandung,Aksesoris,Casing HP,325000,2,650000,E-Wallet,L,19.0,5.0,Reguler,2242000
TRX00617,2026-02-15,Surabaya,Smartphone,Smartphone NovaLite,7754000,4,31016000,Debit,L,39.0,4.0,Reguler,2601000
TRX00568,2026-02-15,Malang,Smartphone,Smartphone Z5,2376000,3,7128000,E-Wallet,L,34.0,5.0,Reguler,2948000
TRX00483,2026-02-15,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3731000,3,11193000,E-Wallet,L,31.0,4.0,Reguler,2978000
TRX00696,2026-02-15,Malang,Laptop,Laptop A14,5012000,4,20048000,Debit,P,24.0,4.0,Reguler,2551000
TRX01942,2026-02-15,Bandung,Smartphone,Smartphone MaxEdge,3977000,1,3977000,E-Wallet,L,24.0,5.0,Reguler,598000
TRX01413,2026-02-15,Malang,Aksesoris,Earphone Bluetooth,467000,5,2335000,Debit,P,32.0,5.0,Reguler,292000
TRX01660,2026-02-15,Surabaya,Aksesoris,Powerbank 10000mAh,275000,3,825000,E-Wallet,P,29.0,4.0,Reguler,1999000
TRX01852,2026-02-15,Jakarta,Laptop,Laptop A14,14581000,5,72905000,E-Wallet,P,30.0,5.0,Reguler,701000
TRX00919,2026-02-16,Jakarta,Elektronik Rumah Tangga,Kipas Angin,2390000,5,11950000,Debit,L,18.0,4.0,Reguler,545000
TRX01307,2026-02-16,Surabaya,Elektronik Rumah Tangga,TV LED 32in,1350000,2,2700000,Debit,L,43.0,5.0,Reguler,1269000
TRX01179,2026-02-16,Bandung,Aksesoris,Earphone Bluetooth,299000,5,1495000,Debit,P,39.0,3.0,Reguler,1831000
TRX02188,2026-02-16,Surabaya,Laptop,Laptop UltraSlim,11317000,5,56585000,Kredit,L,24.0,5.0,Reguler,2814000
TRX01562,2026-02-16,Surabaya,Elektronik Rumah Tangga,TV LED 32in,4239000,2,8478000,Debit,P,57.0,4.0,Reguler,1710000
TRX00346,2026-02-16,Surabaya,Aksesoris,Powerbank 10000mAh,206000,1,206000,Debit,P,28.0,5.0,Reguler,913000
TRX01425,2026-02-16,Bandung,Laptop,Laptop A14,13731000,3,41193000,Debit,L,31.0,,Reguler,1860000
TRX02079,2026-02-16,Malang,Laptop,Laptop UltraSlim,11694000,2,23388000,Tunai,L,23.0,3.0,Reguler,2954000
TRX00933,2026-02-16,Surabaya,Aksesoris,Mouse Wireless,107000,5,535000,Kredit,L,19.0,3.0,Reguler,483000
TRX02126,2026-02-16,Jakarta,Aksesoris,Powerbank 10000mAh,271000,5,1355000,E-Wallet,L,39.0,4.0,Reguler,1265000
TRX01804,2026-02-16,Bandung,Aksesoris,Powerbank 10000mAh,278000,5,1390000,E-Wallet,P,41.0,3.0,Reguler,1277000
TRX01297,2026-02-17,Malang,Smartphone,Smartphone MaxEdge,3978000,2,7956000,Kredit,L,37.0,4.0,Reguler,895000
TRX01502,2026-02-17,Jakarta,Laptop,Laptop A14,5153000,2,10306000,Debit,P,26.0,5.0,Reguler,1805000
TRX01882,2026-02-17,Malang,Smartphone,Smartphone Air,5051000,2,10102000,Debit,P,18.0,4.0,Reguler,1601000
TRX00211,2026-02-17,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3400000,2,6800000,Tunai,L,30.0,5.0,Reguler,504000
TRX01621,2026-02-17,Surabaya,Smartphone,Smartphone NovaLite,7521000,4,30084000,E-Wallet,L,29.0,,Reguler,2991000
TRX00380,2026-02-17,Surabaya,Laptop,Laptop UltraSlim,8983000,1,8983000,Debit,P,29.0,5.0,Reguler,2351000
TRX01459,2026-02-17,Surabaya,Laptop,Laptop A14,10642000,3,31926000,E-Wallet,P,50.0,5.0,Reguler,2492000
TRX00209,2026-02-17,Malang,Aksesoris,Casing HP,88000,5,440000,Tunai,L,29.0,4.0,Reguler,1649000
TRX00292,2026-02-18,Jakarta,Smartphone,Smartphone MaxEdge,4849000,2,9698000,Kredit,P,35.0,5.0,Reguler,1812000
TRX01261,2026-02-18,Jakarta,Elektronik Rumah Tangga,Kulkas 2 Pintu,5684000,5,28420000,Kredit,L,42.0,4.0,Reguler,1477000
TRX01011,2026-02-18,Surabaya,Smartphone,Smartphone Z5,4455000,1,4455000,Debit,L,18.0,3.0,Reguler,1968000
TRX01673,2026-02-18,Bandung,Smartphone,Smartphone NovaLite,2833000,5,14165000,E-Wallet,L,27.0,5.0,Reguler,2421000
TRX00744,2026-02-18,Bandung,Elektronik Rumah Tangga,TV LED 32in,3062000,4,12248000,Tunai,L,46.0,3.0,Reguler,255000
TRX01429,2026-02-18,Jakarta,Aksesoris,Earphone Bluetooth,158000,2,316000,Debit,L,19.0,5.0,Reguler,1064000
TRX01123,2026-02-18,Surabaya,Aksesoris,Earphone Bluetooth,290000,1,290000,E-Wallet,L,27.0,2.0,Reguler,1930000
TRX00618,2026-02-18,Jakarta,Smartphone,Smartphone Z5,6098000,2,12196000,Kredit,L,53.0,5.0,Reguler,1438000
TRX01701,2026-02-18,Bandung,Laptop,Laptop ProBook,14807000,3,44421000,Debit,P,35.0,4.0,Reguler,1407000
TRX00206,2026-02-18,Bandung,Smartphone,Smartphone NovaLite,6198000,1,6198000,Debit,P,28.0,2.0,Reguler,821000
TRX00509,2026-02-18,Surabaya,Elektronik Rumah Tangga,Rice Cooker,1728000,5,8640000,Kredit,P,24.0,4.0,Reguler,453000
TRX01322,2026-02-19,Malang,Elektronik Rumah Tangga,Kipas Angin,4644000,5,23220000,E-Wallet,P,47.0,4.0,Reguler,2574000
TRX00779,2026-02-19,Surabaya,Laptop,Laptop X1,7277000,2,14554000,E-Wallet,L,28.0,5.0,Reguler,2247000
TRX01640,2026-02-19,Surabaya,Laptop,Laptop A14,9947000,5,49735000,E-Wallet,L,42.0,,Reguler,2666000
TRX01491,2026-02-19,Jakarta,Smartphone,Smartphone MaxEdge,4663000,5,23315000,Tunai,L,29.0,1.0,Reguler,1222000
TRX02106,2026-02-19,Surabaya,Aksesoris,Mouse Wireless,121000,1,121000,E-Wallet,L,35.0,4.0,Reguler,1318000
TRX00281,2026-02-19,Surabaya,Aksesoris,Powerbank 10000mAh,212000,5,1060000,Kredit,P,35.0,5.0,Reguler,1999000
TRX00890,2026-02-19,Malang,Smartphone,Smartphone NovaLite,3110000,4,12440000,Tunai,L,24.0,4.0,Reguler,2607000
TRX00505,2026-02-19,Malang,Laptop,Laptop UltraSlim,6278000,2,12556000,E-Wallet,L,35.0,4.0,Reguler,266000
TRX00216,2026-02-19,Jakarta,Aksesoris,Mouse Wireless,413000,5,2065000,E-Wallet,L,24.0,5.0,Reguler,1888000
TRX00039,2026-02-20,Malang,Smartphone,Smartphone Air,7796000,1,7796000,E-Wallet,L,30.0,4.0,Reguler,2327000
TRX00399,2026-02-20,Surabaya,Laptop,Laptop UltraSlim,7599000,5,37995000,Debit,P,24.0,4.0,Reguler,1029000
TRX00143,2026-02-20,Surabaya,Laptop,Laptop UltraSlim,6364000,3,19092000,Kredit,L,37.0,3.0,Reguler,2767000
TRX00413,2026-02-20,Jakarta,Elektronik Rumah Tangga,TV LED 32in,3129000,5,15645000,Kredit,P,35.0,5.0,Reguler,926000
TRX01551,2026-02-20,Bandung,Laptop,Laptop A14,11079000,3,33237000,E-Wallet,L,37.0,5.0,Reguler,2365000
TRX02000,2026-02-20,Malang,Laptop,Laptop A14,8165000,4,32660000,Debit,P,26.0,5.0,Reguler,932000
TRX01192,2026-02-20,Jakarta,Elektronik Rumah Tangga,TV LED 32in,1869000,4,7476000,Kredit,P,28.0,3.0,Reguler,1089000
TRX02045,2026-02-20,Jakarta,Smartphone,Smartphone Air,5464000,2,10928000,E-Wallet,P,18.0,5.0,Reguler,1361000
TRX00152,2026-02-20,Malang,Smartphone,Smartphone Z5,5783000,3,17349000,E-Wallet,P,57.0,4.0,Reguler,2061000
TRX01028,2026-02-20,Surabaya,Aksesoris,Casing HP,282000,4,1128000,Tunai,P,40.0,2.0,Reguler,823000
TRX00111,2026-02-20,Jakarta,Aksesoris,Casing HP,250000,5,1250000,Tunai,P,41.0,,Reguler,1627000
TRX02111,2026-02-20,Surabaya,Smartphone,Smartphone Z5,7433000,1,7433000,Kredit,L,23.0,5.0,Reguler,2239000
TRX01999,2026-02-20,Malang,Smartphone,Smartphone Air,3517000,2,7034000,Debit,L,18.0,2.0,Reguler,399000
TRX00314,2026-02-20,Bandung,Elektronik Rumah Tangga,Kipas Angin,837000,2,1674000,E-Wallet,P,30.0,4.0,Reguler,819000
TRX02109,2026-02-20,Malang,Laptop,Laptop X1,11284000,1,11284000,Kredit,P,41.0,4.0,Reguler,646000
TRX00950,2026-02-20,Surabaya,Aksesoris,Casing HP,74000,5,370000,Debit,L,22.0,5.0,Reguler,2635000
TRX01794,2026-02-20,Jakarta,Smartphone,Smartphone MaxEdge,6787000,2,13574000,E-Wallet,P,51.0,5.0,Reguler,767000
TRX02110,2026-02-21,Malang,Aksesoris,Mouse Wireless,161000,2,322000,Tunai,L,25.0,4.0,Reguler,2898000
TRX00450,2026-02-21,Malang,Laptop,Laptop UltraSlim,6721000,4,26884000,E-Wallet,P,23.0,4.0,Reguler,1356000
TRX01917,2026-02-21,Bandung,Smartphone,Smartphone Z5,1625000,3,4875000,E-Wallet,P,39.0,2.0,Reguler,1427000
TRX01993,2026-02-21,Bandung,Elektronik Rumah Tangga,Kipas Angin,1640000,2,3280000,Debit,P,41.0,5.0,Reguler,1954000
TRX01382,2026-02-21,Malang,Laptop,Laptop A14,5535000,2,11070000,Tunai,L,27.0,4.0,Reguler,2087000
TRX01410,2026-02-21,Jakarta,Smartphone,Smartphone NovaLite,5879000,2,11758000,E-Wallet,L,18.0,4.0,Reguler,1176000
TRX00573,2026-02-21,Jakarta,Laptop,Laptop X1,10938000,2,21876000,Debit,L,40.0,4.0,Reguler,2520000
TRX01209,2026-02-21,Surabaya,Aksesoris,Mouse Wireless,184000,1,184000,Debit,P,35.0,3.0,Reguler,1703000
TRX00534,2026-02-21,Jakarta,Smartphone,Smartphone Air,2673000,5,13365000,E-Wallet,L,18.0,4.0,Reguler,2814000
TRX00814,2026-02-21,Surabaya,Smartphone,Smartphone MaxEdge,3333000,1,3333000,Debit,L,20.0,4.0,Reguler,1911000
TRX02193,2026-02-21,Surabaya,Laptop,Laptop UltraSlim,9899000,5,49495000,Debit,P,23.0,5.0,Reguler,1787000
TRX00299,2026-02-21,Surabaya,Elektronik Rumah Tangga,TV LED 32in,3343000,3,10029000,E-Wallet,L,38.0,4.0,Reguler,1889000
TRX02041,2026-02-22,Surabaya,Smartphone,Smartphone Z5,2324000,2,4648000,Debit,L,38.0,,Reguler,517000
TRX01114,2026-02-22,Surabaya,Laptop,Laptop UltraSlim,12103000,5,60515000,Tunai,L,28.0,4.0,Reguler,2031000
TRX00096,2026-02-22,Malang,Elektronik Rumah Tangga,Kipas Angin,2576000,4,10304000,Kredit,L,47.0,3.0,Reguler,215000
TRX02197,2026-02-22,Jakarta,Elektronik Rumah Tangga,Kipas Angin,4716000,3,14148000,E-Wallet,P,26.0,5.0,Reguler,2533000
TRX00481,2026-02-22,Bandung,Laptop,Laptop ProBook,8793000,2,17586000,Debit,P,46.0,4.0,Reguler,2006000
TRX00855,2026-02-22,Bandung,Smartphone,Smartphone Air,3042000,3,9126000,E-Wallet,P,29.0,5.0,Reguler,345000
TRX00342,2026-02-22,Malang,Laptop,Laptop ProBook,8343000,3,25029000,Debit,L,36.0,4.0,Reguler,2268000
TRX00841,2026-02-22,Malang,Smartphone,Smartphone MaxEdge,6718000,5,33590000,Tunai,L,34.0,5.0,Reguler,2278000
TRX00495,2026-02-22,Jakarta,Smartphone,Smartphone NovaLite,4993000,4,19972000,E-Wallet,P,36.0,4.0,Reguler,224000
TRX00660,2026-02-22,Bandung,Smartphone,Smartphone Z5,1673000,4,6692000,E-Wallet,P,30.0,5.0,Reguler,2495000
TRX01230,2026-02-22,Surabaya,Smartphone,Smartphone Air,7790000,1,7790000,E-Wallet,P,,4.0,Reguler,2980000
TRX02186,2026-02-22,Jakarta,Elektronik Rumah Tangga,TV LED 32in,5709000,4,22836000,Debit,P,26.0,,Reguler,2520000
TRX01483,2026-02-22,Malang,Elektronik Rumah Tangga,TV LED 32in,4710000,4,18840000,Kredit,L,54.0,5.0,Reguler,968000
TRX01561,2026-02-22,Jakarta,Smartphone,Smartphone Z5,7093000,3,21279000,Debit,P,21.0,5.0,Reguler,2851000
TRX00638,2026-02-23,Malang,Aksesoris,Casing HP,290000,5,1450000,Debit,L,52.0,4.0,Reguler,2162000
TRX00419,2026-02-23,Malang,Elektronik Rumah Tangga,Rice Cooker,3504000,3,10512000,E-Wallet,L,18.0,2.0,Reguler,2882000
TRX01338,2026-02-23,Jakarta,Aksesoris,Casing HP,141000,4,564000,E-Wallet,L,26.0,4.0,Reguler,2531000
TRX01646,2026-02-23,Jakarta,Aksesoris,Mouse Wireless,116000,1,116000,E-Wallet,P,26.0,2.0,Reguler,2956000
TRX01581,2026-02-23,Jakarta,Laptop,Laptop A14,7600000,2,15200000,E-Wallet,P,31.0,5.0,Reguler,2723000
TRX01820,2026-02-23,Jakarta,Smartphone,Smartphone MaxEdge,1805000,4,7220000,Tunai,P,40.0,4.0,Reguler,1084000
TRX00796,2026-02-23,Malang,Smartphone,Smartphone MaxEdge,5077000,5,25385000,Kredit,P,,5.0,Reguler,1418000
TRX01451,2026-02-23,Surabaya,Laptop,Laptop A14,6028000,2,12056000,Debit,L,22.0,4.0,Reguler,680000
TRX01862,2026-02-23,Bandung,Elektronik Rumah Tangga,Kulkas 2 Pintu,3711000,4,14844000,E-Wallet,P,39.0,,Reguler,2426000
TRX00154,2026-02-23,Jakarta,Laptop,Laptop X1,14148000,1,14148000,Tunai,P,45.0,,Reguler,2364000
TRX01907,2026-02-23,Surabaya,Laptop,Laptop ProBook,11858000,2,23716000,Debit,P,34.0,,Reguler,2085000
TRX01239,2026-02-23,Surabaya,Laptop,Laptop X1,11143000,3,33429000,Tunai,P,30.0,,Reguler,2982000
TRX00271,2026-02-23,Malang,Aksesoris,Powerbank 10000mAh,333000,2,666000,Tunai,P,18.0,5.0,Reguler,2771000
TRX01367,2026-02-24,Jakarta,Aksesoris,Powerbank 10000mAh,307000,1,307000,Kredit,P,46.0,4.0,Reguler,948000
TRX01316,2026-02-24,Malang,Smartphone,Smartphone NovaLite,5942000,2,11884000,Kredit,L,27.0,4.0,Reguler,1320000
TRX01601,2026-02-24,Jakarta,Smartphone,Smartphone NovaLite,6104000,2,12208000,Kredit,L,32.0,3.0,Reguler,2226000
TRX00928,2026-02-24,Surabaya,Laptop,Laptop ProBook,9420000,4,37680000,E-Wallet,P,37.0,5.0,Reguler,1103000
TRX01400,2026-02-24,Surabaya,Aksesoris,Casing HP,147000,1,147000,E-Wallet,L,40.0,4.0,Reguler,1490000
TRX00442,2026-02-24,Malang,Laptop,Laptop X1,10827000,3,32481000,Debit,L,39.0,5.0,Reguler,1418000
TRX01403,2026-02-24,Bandung,Smartphone,Smartphone Air,6476000,1,6476000,Debit,P,35.0,,Reguler,2233000
TRX01823,2026-02-24,Malang,Smartphone,Smartphone Air,2447000,2,4894000,E-Wallet,P,40.0,3.0,Reguler,1940000
TRX00971,2026-02-24,Bandung,Elektronik Rumah Tangga,TV LED 32in,1715000,2,3430000,E-Wallet,L,34.0,4.0,Reguler,1230000
TRX01476,2026-02-24,Jakarta,Laptop,Laptop X1,10073000,2,20146000,E-Wallet,L,24.0,5.0,Reguler,503000
TRX00353,2026-02-24,Bandung,Smartphone,Smartphone Z5,4642000,1,4642000,E-Wallet,P,41.0,5.0,Reguler,1150000
TRX02052,2026-02-24,Surabaya,Aksesoris,Casing HP,440000,1,440000,Debit,L,18.0,4.0,Reguler,536000
TRX00190,2026-02-24,Surabaya,Smartphone,Smartphone Z5,7850000,1,7850000,Kredit,L,22.0,5.0,Reguler,1129000
TRX00307,2026-02-24,Bandung,Laptop,Laptop ProBook,10325000,3,30975000,Kredit,P,23.0,5.0,Reguler,1940000
TRX00802,2026-02-24,Malang,Aksesoris,Powerbank 10000mAh,273000,3,819000,Debit,P,38.0,3.0,Reguler,1076000
TRX00263,2026-02-24,Jakarta,Elektronik Rumah Tangga,TV LED 32in,5039000,5,25195000,Debit,L,43.0,5.0,Reguler,970000
TRX02021,2026-02-24,Malang,Laptop,Laptop X1,5048000,5,25240000,E-Wallet,L,22.0,4.0,Reguler,371000
TRX02187,2026-02-25,Jakarta,Elektronik Rumah Tangga,Kipas Angin,3830000,1,3830000,Kredit,L,41.0,4.0,Reguler,2629000
TRX00136,2026-02-25,Malang,Smartphone,Smartphone MaxEdge,6395000,4,25580000,E-Wallet,L,34.0,4.0,Reguler,559000
TRX00952,2026-02-25,Malang,Laptop,Laptop A14,5469000,4,21876000,Debit,L,46.0,5.0,Reguler,2160000
TRX00239,2026-02-25,Bandung,Laptop,Laptop UltraSlim,6403000,5,32015000,Debit,P,30.0,3.0,Reguler,235000
TRX02127,2026-02-25,Jakarta,Elektronik Rumah Tangga,Kipas Angin,2561000,1,2561000,E-Wallet,P,41.0,2.0,Reguler,2609000
TRX01105,2026-02-25,Surabaya,Smartphone,Smartphone NovaLite,5812000,5,29060000,Debit,L,36.0,,Reguler,478000
